,contractSymbol,lastTradeDate,strike,lastPrice,impliedVolatility,expiry_date,symbol,dates diff,Stock price
0,PFE231215C00017500,2023-12-13,17.5,9.1,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
1,PFE231215C00019000,2023-09-25,19.0,13.9,11.316409177246094,2023-12-15,PFE,81.0,32.541263580322266
2,PFE231215C00020000,2023-12-13,20.0,6.32,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
3,PFE231215C00021000,2023-12-13,21.0,5.65,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
4,PFE231215C00022500,2023-12-13,22.5,4.12,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
5,PFE231215C00024000,2023-12-13,24.0,2.62,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
6,PFE231215C00025000,2023-12-13,25.0,1.68,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
7,PFE231215C00026000,2023-12-13,26.0,0.71,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
8,PFE231215C00026500,2023-12-13,26.5,0.33,1.0000000000000003e-05,2023-12-15,PFE,2.0,26.65999984741211
9,PFE231215C00027000,2023-12-13,27.0,0.13,0.062509375,2023-12-15,PFE,2.0,26.65999984741211
10,PFE231215C00027500,2023-12-13,27.5,0.06,0.12500875,2023-12-15,PFE,2.0,26.65999984741211
11,PFE231215C00028000,2023-12-13,28.0,0.02,0.2500075,2023-12-15,PFE,2.0,26.65999984741211
12,PFE231215C00028500,2023-12-13,28.5,0.01,0.2500075,2023-12-15,PFE,2.0,26.65999984741211
13,PFE231215C00029000,2023-12-13,29.0,0.01,0.2500075,2023-12-15,PFE,2.0,26.65999984741211
14,PFE231215C00029500,2023-12-13,29.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
15,PFE231215C00030000,2023-12-13,30.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
16,PFE231215C00030500,2023-12-13,30.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
17,PFE231215C00031000,2023-12-13,31.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
18,PFE231215C00031500,2023-12-13,31.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
19,PFE231215C00032000,2023-12-13,32.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
20,PFE231215C00032500,2023-12-13,32.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
21,PFE231215C00033000,2023-12-13,33.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
22,PFE231215C00033500,2023-12-12,33.5,0.02,0.500005,2023-12-15,PFE,3.0,28.579999923706055
23,PFE231215C00034000,2023-12-13,34.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
24,PFE231215C00034500,2023-12-11,34.5,0.01,0.500005,2023-12-15,PFE,4.0,28.639999389648438
25,PFE231215C00035000,2023-12-13,35.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
26,PFE231215C00036000,2023-12-13,36.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
27,PFE231215C00037000,2023-11-30,37.0,0.02,0.500005,2023-12-15,PFE,15.0,30.469999313354492
28,PFE231215C00037500,2023-12-13,37.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
29,PFE231215C00039000,2023-12-11,39.0,0.01,0.500005,2023-12-15,PFE,4.0,28.639999389648438
30,PFE231215C00040000,2023-12-13,40.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
31,PFE231215C00041000,2023-10-19,41.0,0.03,2.68750328125,2023-12-15,PFE,57.0,30.77507781982422
32,PFE231215C00042500,2023-12-13,42.5,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
33,PFE231215C00044000,2023-11-24,44.0,0.01,0.500005,2023-12-15,PFE,21.0,30.5
34,PFE231215C00045000,2023-12-13,45.0,0.01,0.500005,2023-12-15,PFE,2.0,26.65999984741211
35,PFE231215C00047500,2023-12-12,47.5,0.01,0.500005,2023-12-15,PFE,3.0,28.579999923706055
36,PFE231215C00049000,2023-11-01,49.0,0.01,0.500005,2023-12-15,PFE,44.0,30.104124069213867
